Game,Console,Genre
[Prototype 2],PlayStation 4,"Platform, Hack and slash/Beat 'em up, Adventure, Horror; Action, Science fiction, Survival, Sandbox, Open world"
[Prototype],PlayStation 4,"Platform, Hack and slash/Beat 'em up, Adventure, Horror; Action, Science fiction, Survival, Sandbox, Open world"
007: Agent Under Fire,PlayStation 2,
101 Ways To Die,PlayStation 4,"Platform, Puzzle, Strategy, Indie; Action, Survival, Comedy, Educational"
A Boy And His Blob,PlayStation 4,"Platform, Puzzle, Adventure"
A Bug's Life,PlayStation 1,"Platform, Adventure"
A Plague Tale: Innocence,PlayStation 5,"Adventure, Horror; Action, Fantasy, Historical, Stealth"
Absolute Drift: Zen Edition,PlayStation 4,"Racing, Simulator, Sport, Indie; Action"
Abzû,PlayStation 4,"Simulator, Adventure, Indie; Action, Educational"
Accounting+,PlayStation VR,"Simulator, Adventure, Indie; Action, Horror"
Active Soccer 2 DX,PlayStation 4,Sport; Action
Alice: Madness Returns,PlayStation 3,"Platform, Hack and slash/Beat 'em up, Adventure; Action, Horror"
Amnesia: Collection,PlayStation 4,"Puzzle, Adventure, Indie; Horror, Survival"
Amplitude,PlayStation 4,"Music, Arcade; Action, Science fiction, Party"
Angry Birds Trilogy,PlayStation 3,"Puzzle, Strategy; Action, Fantasy, Comedy"
Animal Force,PlayStation VR,"Strategy, Indie; Action, Party"
Another World,PlayStation 4,"Platform, Puzzle, Adventure; Action, Science fiction, Survival"
Ape Escape,PlayStation Portable,Platform; Action
Ape Escape 2,PlayStation 4,Platform; Action
Apex Construct,PlayStation VR,"Adventure; Action, Science fiction"
Apocalypse Rider,PlayStation VR,"Racing, Simulator; Action"
Arizona Sunshine,PlayStation VR,"Shooter, Adventure, Indie; Action, Horror, Survival"
ARK: Survival Evolved,PlayStation 4,"Shooter, Role-playing (RPG), Adventure, Indie; Action, Survival, Open world"
Armello,PlayStation 4,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Quiz/Trivia, Adventure, Indie, Card & Board Game; Fantasy"
Armikrog,PlayStation 4,"Point-and-click, Puzzle, Adventure, Indie; Science fiction, Comedy"
Army of Two,PlayStation 3,Shooter; Action
Art Of Balance,PlayStation 4,"Puzzle, Strategy, Arcade; Party"
Art of Rally,PlayStation 5,"Racing, Simulator, Sport, Indie; Action"
Assassin's Creed Valhalla: Ultimate Edition,PlayStation 5,"Adventure; Action, Historical, Open world"
Assault Android Cactus,PlayStation 4,"Shooter, Indie, Arcade; Action, Science fiction"
ASTRO BOT Rescue Mission,PlayStation VR,"Platform, Adventure; Action, Science fiction"
Astro's Playroom,PlayStation 5,"Platform, Adventure; Action, Science fiction"
Aven Colony,PlayStation 4,"Simulator, Strategy, Indie; Science fiction, Sandbox"
AWAY: The Survival Series,PlayStation 5,"Adventure, Indie; Action"
Back To The Future TTG,PlayStation 4,"Point-and-click, Adventure; Action, Fantasy, Science fiction, Historical, Comedy"
Badland,PlayStation 4,"Platform, Puzzle, Adventure, Arcade; Action, Fantasy"
Bang Bang Racing,PlayStation 3,"Racing, Arcade; Action"
Batman Season 1 TTG,PlayStation 4,"Point-and-click, Adventure; Action"
Batman Season 2 TTG,PlayStation 4,"Point-and-click, Adventure; Action"
Batman: Arkham Asylum,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Stealth, Open world"
Batman: Arkham City,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Stealth, Open world"
Batman: Arkham Knight,PlayStation 4,"Hack and slash/Beat 'em up, Adventure; Action, Stealth, Open world"
Batman: Arkham VR,PlayStation VR,"Puzzle, Strategy, Adventure; Action"
Battlefield 1,PlayStation 4,"Shooter; Action, Fantasy, Historical, Warfare"
Battlefield 3,PlayStation 3,"Shooter; Action, Fantasy, Historical, Warfare"
Bayonetta,PlayStation 3,"Hack and slash/Beat 'em up, Adventure; Action"
Bear With Me,PlayStation 4,"Point-and-click, Adventure, Indie; Mystery"
Beat Cop,PlayStation 4,"Point-and-click, Simulator, Adventure, Indie; Comedy, Drama"
Beat Hazard Ultra,PlayStation 3,"Music, Arcade, Shooter, Indie"
Beat Saber,PlayStation VR,"Music, Sport, Indie; Action, Science fiction, Party"
Bentley's Hackpack,PlayStation 3,Arcade; Comedy
Beyblade,PlayStation 1,"Fighting, Simulation, Adventure; Action"
Beyond Eyes,PlayStation 4,"Adventure, Indie; Fantasy"
Beyond Good and Evil HD,PlayStation 3,"Puzzle, Adventure; Action, Stealth"
Beyond Two Souls,PlayStation 4,"Adventure; Action, Science fiction, Thriller, Drama"
Biomutant,PlayStation 5,"Role-playing (RPG), Adventure; Action, Science fiction, Open world"
BioShock 1 & 2: The Collection,PlayStation 4,"Shooter, Role-playing (RPG), Adventure; Action, Fantasy, Science fiction, Horror, Historical"
BioShock Infinite: The Collection,PlayStation 4,"Shooter, Role-playing (RPG), Adventure; Action, Fantasy, Science fiction, Horror, Historical"
Bishi Bashi Special,PlayStation 1,Arcade; Party
